Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
droga; droga; . . .; puta; sexo; hombre; .; marihuana; drogas; la; vida; 0.13768; 0.02382; 0.02052; 0.01774; 0.01503; 0.01229; 0.01185; 0.01162; 0.01129; 0.0088
adicciÃ³n; .; amor; la; hombre; mujer; . . .; un; placer; l; lo; 0.0402; 0.03215; 0.02859; 0.02607; 0.01547; 0.01521; 0.01488; 0.01438; 0.00992; 0.0099
prioridad; .; mi; . . .; ser; la; l; que;:; a; el; 0.09863; 0.01792; 0.01785; 0.01745; 0.01649; 0.01551; 0.01536; 0.01239; 0.00905; 0.0087
objeto; mujer; hombre; objeto; sujeto; persona; cuerpo; .; amante; máquina; esclavo; 0.34276; 0.09334; 0.05363; 0.01894; 0.01752; 0.01221; 0.00887; 0.00828; 0.00806; 0.00766
arte; arte; mujer; hombre; vida; .; . . .; amor; verdad; artista; la; 0.08277; 0.07201; 0.03736; 0.02044; 0.01837; 0.01526; 0.01167; 0.01089; 0.01077; 0.00852
vida; vida; .; amor; hombre; Vida; historia; mundo; tiempo; futuro; día; 0.53953; 0.01135; 0.0094; 0.00914; 0.00862; 0.00731; 0.0069; 0.00653; 0.0065; 0.00641
vivir; vivir; morir; vida; ser; amar; trabajar; .; la; Vivir; . . .; 0.39287; 0.07564; 0.02231; 0.01779; 0.01449; 0.01135; 0.00975; 0.00885; 0.00819; 0.00765
jugar; jugar; . . .; ganar; pensar; aprender; divertirse; follar; amar; vivir; .; 0.26207; 0.02202; 0.02072; 0.0202; 0.02003; 0.01513; 0.01401; 0.01324; 0.01313; 0.01201
cocinar; cocinar; . . .; comer; la; .; amar; cantar; . . . .; un; limpiar; 0.3466; 0.03549; 0.02652; 0.01309; 0.01084; 0.01037; 0.00898; 0.00887; 0.00855; 0.00775
intimidad; intimidad; vida; sexo; libertad; la; ti; .; l; verdad; todos; 0.26736; 0.03128; 0.00877; 0.008; 0.00759; 0.00668; 0.00655; 0.00619; 0.00584; 0.00568
cama; cama; . . .; la; .; c; lecho; par; puta; hombre; un; 0.28842; 0.01578; 0.01463; 0.01313; 0.00799; 0.00798; 0.00724; 0.00721; 0.00669; 0.00661
embajada; .; . . .; la; un; . . . .; hombre; otro; ti; mi;teo; 0.05157; 0.03133; 0.02451; 0.01134; 0.00908; 0.00824; 0.00754; 0.00753; 0.00709; 0.00684
familia; familia; casa; vida; .; hombre; persona; padre; país; mundo; pueblo; 0.4116; 0.04247; 0.01828; 0.01763; 0.00947; 0.00779; 0.00687; 0.00598; 0.00573; 0.00556
hijos; hijos; los; .; hijo; . . .; otros; marido; padre; la; mi; 0.17956; 0.02613; 0.0215; 0.0208; 0.01821; 0.01617; 0.01337; 0.0109; 0.01058; 0.00991
matrimonio; matrimonio; hombre; .; marido; pareja; la; amor; Dios; un; mujer; 0.12975; 0.02643; 0.02559; 0.01958; 0.01938; 0.01784; 0.0164; 0.01269; 0.01028; 0.01027
dinero; dinero; amor; sexo; tiempo; .; hombre; poder; la; trabajo; Dios; 0.16703; 0.0489; 0.02823; 0.02766; 0.02231; 0.01614; 0.01114; 0.01102; 0.01008; 0.00982
supervivencia; vida; supervivencia; .; hombre; sobrevivir; que; ser; vivir; un; l; 0.1016; 0.03587; 0.00952; 0.00788; 0.00772; 0.00709; 0.00681; 0.00644; 0.00637; 0.00619
astucia; inteligencia; verdad; hombre; inteligente; valiente; caballero; ingenio; fuerte; ladrón; que; 0.01965; 0.01572; 0.01469; 0.0141; 0.01184; 0.00977; 0.00841; 0.00693; 0.00657; 0.00581
fuerza; fuerza; .; ser; hombre; que; poder; fuerte; diferencia; un; tiempo; 0.11915; 0.02196; 0.01237; 0.01176; 0.01115; 0.00965; 0.00887; 0.0083; 0.00755; 0.00748
rebelde; rebelde; . . .; .; valiente; hombre; libre; original; un; . . . .; fuerte; 0.05642; 0.02398; 0.0139; 0.01343; 0.01255; 0.00936; 0.0087; 0.00845; 0.00772; 0.00758
