Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
intimidad; intimidad; vida; mujer; sexo; la; amor; libertad; l; .; hombre; 0.145; 0.03778; 0.02131; 0.01432; 0.01271; 0.00937; 0.00887; 0.00847; 0.0077; 0.00746
cama; cama; la; .; casa; hombre; . . .; l; vida; un; ti; 0.2023; 0.02371; 0.02125; 0.01868; 0.01453; 0.01176; 0.00997; 0.00777; 0.00759; 0.00725
embajada; .; la; hombre; l; mujer; un; a; m; . . .;:; 0.06383; 0.04665; 0.04455; 0.0244; 0.02146; 0.01515; 0.01502; 0.01382; 0.01325; 0.01245
familia; familia; casa; vida; hombre; Dios; .; padre; mundo; hermano; pueblo; 0.4141; 0.04718; 0.01678; 0.01615; 0.00826; 0.00741; 0.00733; 0.00671; 0.00585; 0.00584
hijos; hijos; mujer; vida; los; hombre; padre; Dios; padres; hijo; marido; 0.12276; 0.05671; 0.02141; 0.01892; 0.01663; 0.01571; 0.01385; 0.0138; 0.01372; 0.01337
matrimonio; matrimonio; mujer; amor; hombre; la; Dios; .; pareja; marido; un; 0.06253; 0.03931; 0.033; 0.03139; 0.03025; 0.023; 0.02143; 0.01589; 0.01044; 0.01003
dinero; dinero; amor; la; hombre; mujer; tiempo; Dios; vida; .; sexo; 0.08536; 0.06188; 0.034; 0.03149; 0.02839; 0.02404; 0.02181; 0.01753; 0.01448; 0.01413
supervivencia; vida; supervivencia; hombre; amor; ser; resistencia; humanidad; libertad; .; vivir; 0.12442; 0.03074; 0.01121; 0.00899; 0.00886; 0.00875; 0.00839; 0.0076; 0.00751; 0.00723
astucia; hombre; verdad; inteligencia; ingenio; caballero; amor; valiente; ladrón; fuerte; que; 0.02179; 0.01238; 0.01188; 0.01057; 0.01008; 0.00899; 0.00724; 0.00705; 0.00677; 0.00642
fuerza; fuerza; mujer; hombre; ser; poder; .; potencia; que; tiempo; causa; 0.21222; 0.0396; 0.01922; 0.01413; 0.01166; 0.0099; 0.00925; 0.00819; 0.00799; 0.00766
rebelde; rebelde; hombre; . . .; mujer; valiente; .; un; libre; moderno; revolucionario; 0.03574; 0.02385; 0.01724; 0.01543; 0.01274; 0.01257; 0.00927; 0.00889; 0.00842; 0.00754
