Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
adicciÃ³n; mujer; .; la; amor; hombre; . . .; placer; un; una; lo; 0.04991; 0.03862; 0.03333; 0.03044; 0.02255; 0.01411; 0.01387; 0.01179; 0.00959; 0.009
prioridad; .; la; mi; . . .; ser; que; l;:; mujer; a; 0.09704; 0.02123; 0.01936; 0.01674; 0.01596; 0.01481; 0.01299; 0.01286; 0.01195; 0.00794
objeto; mujer; hombre; objeto; persona; sujeto; cuerpo; .; amante; máquina; puta; 0.3772; 0.08982; 0.0504; 0.02337; 0.01459; 0.00916; 0.00728; 0.00639; 0.00635; 0.00385
arte; mujer; arte; hombre; vida; .; . . .; la; belleza; artista; verdad; 0.10644; 0.08133; 0.03384; 0.02336; 0.01678; 0.01416; 0.01326; 0.01189; 0.01186; 0.01045
vida; vida; mujer; muerte; historia; persona; .; Vida; amor; hombre; la; 0.54246; 0.03168; 0.01985; 0.01034; 0.01009; 0.00976; 0.00907; 0.00768; 0.00562; 0.00541
vivir; vivir; morir; vida; ser; la; amar; trabajar; pensar; .; . . .; 0.39006; 0.07399; 0.02524; 0.01629; 0.01359; 0.0118; 0.01113; 0.00861; 0.00816; 0.00654
jugar; jugar; pensar; . . .; ganar; aprender; divertirse; bailar; follar; disfrutar; amar; 0.25993; 0.02243; 0.02091; 0.02054; 0.01918; 0.01863; 0.01503; 0.01302; 0.0118; 0.01055
cocinar; cocinar; . . .; comer; la; cantar; .; bailar; cocina; amar; casa; 0.34915; 0.03439; 0.02517; 0.01782; 0.01132; 0.00925; 0.00833; 0.00806; 0.00768; 0.00708
intimidad; intimidad; vida; mujer; casa; la; libertad; sexo; pareja; persona; ti; 0.27299; 0.03421; 0.03157; 0.01964; 0.01232; 0.00937; 0.00735; 0.00661; 0.00624; 0.00614
cama; cama; casa; la; . . .; puta; .; una; vida; c; ti; 0.29242; 0.03261; 0.01936; 0.01468; 0.0119; 0.01154; 0.00893; 0.00634; 0.0061; 0.00596
embajada; .; . . .; la; mujer; persona; una; casa; mi; un; ti; 0.04998; 0.03023; 0.02925; 0.02253; 0.0103; 0.00951; 0.00917; 0.00853; 0.00825; 0.00698
familia; familia; casa; mujer; vida; .; persona; la; pareja; España; hombre; 0.42344; 0.07232; 0.0322; 0.0212; 0.01604; 0.01363; 0.00908; 0.00768; 0.00596; 0.00594
hijos; hijos; los; .; . . .; hijo; otros; la; mujer; padres; mi; 0.18304; 0.02384; 0.01991; 0.01711; 0.01707; 0.0154; 0.01531; 0.01279; 0.01178; 0.01136
matrimonio; matrimonio; mujer; pareja; .; hombre; la; marido; familia; amor; vida; 0.12943; 0.04471; 0.02613; 0.024; 0.0229; 0.02258; 0.01663; 0.01509; 0.01468; 0.01167
dinero; dinero; amor; mujer; sexo; tiempo; .; la; hombre; vida; mujeres; 0.16375; 0.04718; 0.0336; 0.02681; 0.02409; 0.02072; 0.01576; 0.01261; 0.0107; 0.01063
supervivencia; vida; supervivencia; muerte; mujer; evolución; la; persona; .; naturaleza; que; 0.10452; 0.03751; 0.02649; 0.01576; 0.01244; 0.01026; 0.00925; 0.00793; 0.00744; 0.00654
astucia; mujer; inteligencia; verdad; inteligente; hombre; bella; dama; valiente; historia; la; 0.03248; 0.02363; 0.01528; 0.0145; 0.01117; 0.01049; 0.0101; 0.00992; 0.00727; 0.00699
fuerza; fuerza; mujer; .; ser; que; poder; hombre; la; diferencia; causa; 0.11972; 0.04154; 0.02037; 0.01087; 0.0106; 0.0085; 0.00824; 0.00809; 0.00777; 0.00602
rebelde; rebelde; mujer; . . .; .; valiente; hombre; libre; original; la; una; 0.05526; 0.0353; 0.02287; 0.01231; 0.01151; 0.00903; 0.00691; 0.00589; 0.00576; 0.0057
