Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
adorable, hermana, hija, hijo, novio, novia, hermano, madre, marido, padre, mujer, 0,0328, 0,02972, 0,02313, 0,02116, 0,01861, 0,01289, 0,00857, 0,00473, 0,00255, 0,00199
angelical, hermana, novio, novia, hija, madre, hijo, hermano, padre, marido, mujer, 0,02177, 0,02113, 0,01987, 0,01731, 0,01576, 0,0109, 0,01004, 0,0077, 0,00485, 0,00278
feroz, marido, novio, madre, hermana, hermano, padre, mujer, novia, hijo, hija, 0,05154, 0,03166, 0,02932, 0,02517, 0,02405, 0,02081, 0,01545, 0,01497, 0,00568, 0,00485
angustiante, madre, marido, padre, hija, hijo, mujer, hermana, novia, hermano, novio, 0,0183, 0,0122, 0,00717, 0,00462, 0,00437, 0,00382, 0,00354, 0,00144, 0,00118, 0,00115
fuerte, hermana, hijo, novio, hermano, padre, marido, madre, novia, hija, mujer, 0,01626, 0,01322, 0,0116, 0,01129, 0,01105, 0,00983, 0,00836, 0,0065, 0,00606, 0,00559
pobre, madre, padre, marido, hermana, hermano, hija, hijo, mujer, novia, novio, 0,1132, 0,04357, 0,03184, 0,02453, 0,02009, 0,01628, 0,01476, 0,00822, 0,00722, 0,00625
fundamental, padre, madre, hijo, hermano, hija, hermana, mujer, marido, novia, novio, 0,03019, 0,02876, 0,01664, 0,0064, 0,00534, 0,00461, 0,00332, 0,00221, 0,00022, 0,0002
popular, madre, padre, hermana, hijo, marido, hermano, novio, novia, hija, mujer, 0,03703, 0,02654, 0,01759, 0,0145, 0,01441, 0,01371, 0,01357, 0,01146, 0,01126, 0,00368
artista, hija, hijo, madre, hermana, marido, padre, novio, hermano, novia, mujer, 0,06961, 0,06694, 0,059, 0,05633, 0,04783, 0,03725, 0,03219, 0,02911, 0,02698, 0,01754
audaz, padre, hermana, madre, novia, hermano, hijo, marido, novio, hija, mujer, 0,03741, 0,03233, 0,03033, 0,02392, 0,02273, 0,02231, 0,02082, 0,02069, 0,02059, 0,01653
progresista, padre, marido, madre, novio, hijo, hija, novia, hermano, mujer, hermana, 0,07963, 0,0556, 0,05444, 0,03173, 0,0264, 0,02152, 0,01663, 0,01248, 0,01239, 0,01226
impaciente, marido, hijo, madre, hija, padre, hermana, novio, mujer, novia, hermano, 0,07054, 0,0588, 0,05077, 0,04487, 0,0328, 0,03016, 0,02908, 0,02245, 0,01933, 0,01664
brillante, madre, hermana, padre, marido, hermano, mujer, novia, hija, novio, hijo, 0,01888, 0,01058, 0,00908, 0,00865, 0,00654, 0,00586, 0,00503, 0,00468, 0,004, 0,00372
rebelde, novio, marido, madre, hermana, novia, hija, hijo, padre, hermano, mujer, 0,12405, 0,06255, 0,05701, 0,05696, 0,05275, 0,05024, 0,04284, 0,03322, 0,02189, 0,01501
caliente, novia, mujer, marido, novio, hermana, madre, hermano, hija, hijo, padre, 0,09213, 0,05842, 0,05574, 0,04022, 0,02643, 0,00651, 0,00432, 0,00412, 0,00247, 0,00098
independiente, madre, padre, marido, mujer, hijo, hija, hermana, novia, novio, hermano, 0,02567, 0,02251, 0,02013, 0,01406, 0,01121, 0,00623, 0,00502, 0,00458, 0,00438, 0,00374
capitalista, padre, madre, marido, novio, novia, hermana, hermano, mujer, hijo, hija, 0,08341, 0,08266, 0,06621, 0,06109, 0,02576, 0,01787, 0,01754, 0,01333, 0,01258, 0,00928
infeliz, marido, madre, hijo, padre, hija, novio, mujer, novia, hermana, hermano, 0,2262, 0,09907, 0,08304, 0,05631, 0,05413, 0,05252, 0,03363, 0,02561, 0,02277, 0,01928
inferior, padre, madre, hermano, hijo, hermana, hija, mujer, marido, novia, novio, 0,01454, 0,01118, 0,00889, 0,0065, 0,00541, 0,00503, 0,00261, 0,00233, 0,00142, 0,00095
saludable, marido, madre, hijo, hija, novio, padre, hermana, hermano, novia, mujer, 0,00557, 0,00388, 0,00356, 0,00354, 0,00334, 0,00166, 0,0013, 0,00084, 0,0008, 0,00073
salvaje, novio, novia, marido, madre, mujer, hermana, padre, hermano, hijo, hija, 0,08287, 0,05545, 0,04197, 0,02804, 0,02468, 0,02065, 0,01262, 0,0105, 0,01013, 0,01005
comunista, padre, madre, novio, marido, novia, hijo, hermano, hermana, hija, mujer, 0,12326, 0,12046, 0,09076, 0,07911, 0,03835, 0,037, 0,03633, 0,02823, 0,02147, 0,01849
insolente, madre, padre, novio, hermana, marido, hija, novia, hijo, hermano, mujer, 0,08508, 0,04791, 0,04028, 0,02667, 0,02558, 0,02519, 0,02019, 0,01926, 0,01572, 0,01436
sobresaliente, hermana, hija, hermano, padre, hijo, madre, mujer, marido, novio, novia, 0,00115, 0,00101, 0,00093, 0,00073, 0,00062, 0,00053, 0,00021, 0,00018, 9e-05, 8e-05
constante, padre, madre, hijo, marido, hija, mujer, hermano, hermana, novia, novio, 0,00702, 0,00589, 0,00485, 0,00448, 0,00266, 0,00234, 0,00089, 0,00077, 0,00049, 0,00033
inteligente, madre, hijo, hija, hermana, padre, hermano, marido, novio, novia, mujer, 0,11277, 0,09195, 0,08504, 0,07814, 0,064, 0,04175, 0,03548, 0,03308, 0,02784, 0,02035
socialista, padre, madre, marido, novio, hijo, hermano, novia, hija, hermana, mujer, 0,12333, 0,12009, 0,11563, 0,05791, 0,03756, 0,02946, 0,02859, 0,02361, 0,0215, 0,01997
contaminante, marido, madre, padre, hijo, novio, hija, mujer, hermano, novia, hermana, 0,01865, 0,01504, 0,01264, 0,00764, 0,00641, 0,00315, 0,0029, 0,00261, 0,00195, 0,00192
interesante, hijo, padre, madre, hija, hermano, hermana, mujer, marido, novia, novio, 0,00105, 0,00094, 0,00067, 0,00053, 0,00052, 0,00039, 0,00017, 0,00014, 9e-05, 7e-05
sonriente, madre, hija, novio, novia, hermana, marido, padre, hijo, mujer, hermano, 0,04457, 0,04103, 0,03418, 0,0319, 0,02584, 0,02552, 0,0196, 0,01827, 0,01682, 0,00958
creíble, madre, padre, hija, hijo, novio, hermana, novia, marido, mujer, hermano, 0,04291, 0,02843, 0,02556, 0,02221, 0,02119, 0,02115, 0,01864, 0,01813, 0,0136, 0,01157
superior, padre, madre, hermano, hijo, hermana, hija, marido, mujer, novio, novia, 0,04195, 0,02516, 0,02003, 0,01915, 0,01246, 0,00932, 0,00713, 0,00549, 0,00356, 0,00312
débil, madre, marido, padre, hijo, novio, hermana, hija, hermano, mujer, novia, 0,08731, 0,07106, 0,0691, 0,05595, 0,03715, 0,03456, 0,03256, 0,03216, 0,03063, 0,02488
triste, madre, padre, hija, marido, hijo, novio, hermana, hermano, mujer, novia, 0,03148, 0,01766, 0,011, 0,01048, 0,01014, 0,00886, 0,00881, 0,00643, 0,00641, 0,0052
deportista, marido, novio, hijo, padre, novia, madre, hermana, hija, hermano, mujer, 0,13542, 0,12787, 0,09375, 0,06501, 0,05939, 0,05387, 0,04703, 0,0469, 0,04302, 0,02328
valiente, madre, hija, padre, marido, hijo, hermana, mujer, hermano, novio, novia, 0,12859, 0,08385, 0,07798, 0,07116, 0,06076, 0,0473, 0,02343, 0,02054, 0,01858, 0,01121
desagradable, madre, marido, novio, novia, padre, hija, mujer, hermana, hijo, hermano, 0,04691, 0,04041, 0,04014, 0,02887, 0,01876, 0,01837, 0,0175, 0,01623, 0,01087, 0,00543
descortés, marido, novio, novia, madre, hermano, hijo, padre, hija, mujer, hermana, 0,05991, 0,0402, 0,03075, 0,01938, 0,01862, 0,01574, 0,01488, 0,01052, 0,01006, 0,00835
dócil, novio, marido, novia, madre, mujer, padre, hijo, hermana, hija, hermano, 0,00518, 0,00505, 0,00479, 0,00432, 0,00324, 0,00319, 0,00137, 0,00116, 0,00075, 0,0007
veloz, hermano, novia, novio, marido, padre, madre, hijo, hermana, mujer, hija, 0,00532, 0,00512, 0,00425, 0,00393, 0,00343, 0,00326, 0,00322, 0,0025, 0,00239, 0,00119
eficaz, marido, madre, hermana, novio, hijo, padre, novia, mujer, hermano, hija, 0,01444, 0,004, 0,00276, 0,00269, 0,0018, 0,00158, 0,00147, 0,00124, 0,00119, 0,00091
eficiente, marido, hermana, madre, hermano, padre, mujer, novio, novia, hijo, hija, 0,02567, 0,01441, 0,01001, 0,00761, 0,0073, 0,00698, 0,00579, 0,0042, 0,0024, 0,00189
obediente, hijo, hija, hermana, novio, marido, hermano, novia, madre, padre, mujer, 0,066, 0,0594, 0,04767, 0,03773, 0,02724, 0,02344, 0,01871, 0,01774, 0,01215, 0,00401
