Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
cantante; hermana; madre; marido; novia; hijo; padre; novio; hija; hermano; mujer; 0.09546; 0.07146; 0.06893; 0.06411; 0.06312; 0.06066; 0.05385; 0.04636; 0.04551; 0.03131
guía; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.0071; 0.00636; 0.00499; 0.00481; 0.00354; 0.00349; 0.00264; 0.00172; -0.00344; -0.00729
canguro; marido; hermana; novio; hijo; madre; mujer; hija; novia; padre; hermano; 0.10455; 0.06986; 0.06053; 0.05974; 0.05444; 0.05261; 0.04105; 0.04087; 0.03494; 0.03027
recepcionista; marido; novio; novia; mujer; madre; hermana; padre; hijo; hija; hermano; 0.17179; 0.07834; 0.06899; 0.05965; 0.0589; 0.04093; 0.02174; 0.0202; 0.01049; 0.00988
deportista; marido; padre; hijo; madre; novio; hermano; hermana; novia; hija; mujer; 0.1291; 0.11603; 0.10025; 0.06232; 0.06225; 0.06197; 0.05504; 0.04637; 0.02783; 0.02482
policía; padre; madre; marido; hijo; novio; hermano; mujer; novia; hermana; hija; 0.16373; 0.09781; 0.05422; 0.04509; 0.03364; 0.03233; 0.02529; 0.02232; 0.02014; 0.00662
soldado; padre; hijo; hermano; marido; novio; madre; mujer; novia; hermana; hija; 0.21475; 0.14829; 0.09661; 0.05959; 0.02839; 0.02135; 0.01304; 0.00992; 0.00211; -0.00017
astronauta; padre; hijo; hermano; marido; novio; madre; hermana; novia; mujer; hija; 0.13692; 0.12546; 0.08351; 0.06899; 0.0514; 0.0477; 0.0325; 0.02986; 0.02132; 0.01186
cura; padre; marido; hermano; madre; hermana; novio; hijo; mujer; novia; hija; 0.07761; 0.07307; 0.05197; 0.05191; 0.04723; 0.03257; 0.03157; 0.02757; 0.02433; 0.00308
periodista; madre; padre; marido; hermana; hermano; mujer; hijo; novia; novio; hija; 0.14861; 0.11359; 0.09351; 0.08505; 0.0429; 0.04148; 0.04074; 0.0332; 0.02534; 0.01117
taxista; padre; marido; hijo; hermano; novio; madre; novia; mujer; hermana; hija; 0.13983; 0.10536; 0.10068; 0.08684; 0.05936; 0.04505; 0.04056; 0.03255; 0.01948; 0.0006
tenista; padre; hijo; marido; hermano; novia; novio; hermana; madre; hija; mujer; 0.10562; 0.08509; 0.08086; 0.07284; 0.0698; 0.06796; 0.05413; 0.04692; 0.02434; 0.0177
agente de viaje; marido; mujer; hermano; hijo; novio; padre; novia; madre; hermana; hija; 0.06736; 0.06053; 0.0522; 0.04997; 0.04874; 0.04206; 0.03526; 0.03156; 0.01652; -0.00194
estilista; madre; marido; hermana; novia; mujer; padre; hijo; novio; hermano; hija; 0.14925; 0.12877; 0.10969; 0.05742; 0.05714; 0.05032; 0.03897; 0.03865; 0.03349; 0.02264
florista; marido; madre; padre; hermana; hijo; hermano; novio; mujer; novia; hija; 0.13189; 0.10028; 0.0969; 0.07978; 0.07158; 0.04582; 0.03564; 0.03559; 0.02841; 0.02534
político; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.13172; 0.06369; 0.04398; 0.01931; 0.01886; -0.00062; -0.00361; -0.0037; -0.00702; -0.00965
psiquiatra; marido; padre; madre; mujer; hermano; hijo; novio; hermana; novia; hija; 0.14316; 0.12926; 0.0715; 0.05191; 0.04628; 0.04221; 0.03371; 0.03059; 0.02473; 0.00092
vigilante de seguridad; padre; novio; hijo; novia; marido; madre; hermano; mujer; hermana; hija; 0.08286; 0.05649; 0.04538; 0.04433; 0.04256; 0.01661; 0.01223; 0.00807; 0.00014; -0.00233
socorrista; marido; padre; hijo; madre; novio; novia; mujer; hermano; hermana; hija; 0.15196; 0.12205; 0.08667; 0.07182; 0.06403; 0.052; 0.0372; 0.03627; 0.03434; 0.03406
sastre; padre; marido; hermano; novio; hijo; madre; novia; mujer; hermana; hija; 0.1997; 0.09154; 0.08665; 0.04502; 0.04061; 0.01877; 0.017; 0.00968; 0.0002; -0.00784
economista; padre; marido; hermano; madre; hijo; hermana; novio; mujer; novia; hija; 0.18735; 0.13785; 0.07423; 0.07303; 0.04592; 0.03554; 0.02987; 0.02675; 0.02526; -0.00042
psicoanalista; marido; padre; madre; mujer; novia; novio; hijo; hermana; hermano; hija; 0.15661; 0.10432; 0.08542; 0.04679; 0.03505; 0.03504; 0.03345; 0.03151; 0.02646; 0.00158
auxiliar de enfermería; marido; madre; hijo; novia; novio; padre; mujer; hija; hermana; hermano; 0.08316; 0.03231; 0.03134; 0.02852; 0.02639; 0.02495; 0.01597; 0.01376; 0.00493; 0.00201
